,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
3,ark:/13030/c80007jk/,English,"University of California, Davis Library, University Archives",University of California Genetic Resources Conservation Program Records,University of California (System). Genetic Resources Conservation Program,AR-137,26 linear feet,1979-2008,,"Correspondence, meeting agendas, minutes, notes, project files, and photographs and slides produced by the UC Genetic Resources Conservation Program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ark:/13030/c80g3mv4/,Collection materials in English.,,Pacific Regional Humanities Center Collection,Pacific Regional Humanities Center,AR-129,2 videodisc (DVD),1995-2006,,The Pacific Regional Humanities Center (PRHC) was an initiative funded by the National Endowment for the Humanities (NEH) in 2002 and overseen by the UC Davis Humanities Institute. The PRHC emphasized the study of &#34;place.&#34; This small collection contains DVDs and videocassettes chronicling PRHC projects and events. Also included is the PRHC implementation proposal that was submitted to the NEH.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ark:/13030/c80k2b3m/,Collection materials in English.,,Block CA Society Records,Block CA Society,AR-186,,1928-1970,,"The Block CA Society, an athletics honor society formed in 1922, organized social events and issued awards. This small collection contains the club&#39;s meeting minutes and treasurer&#39;s account books from 1928-1970.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ark:/13030/c80v8k7b/,English,"University of California, Davis Library, University Archives",Nature and Culture Program Records,"University of California, Davis. College of Letters and Science",AR-175,1 linear foot,1993-2011,,"Correspondence, course descriptions, program requirements, reports, flyers, and posters created by the Nature and Culture Program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ark:/13030/c8154mgs/,Collection materials in English.,,Department of Biological and Agricultural Engineering Records,"University of California, Davis. Department of Biological and Agricultural Engineering",AR-012,7.6 linear feet,1915-2014,,"The Department of Biological and Agricultural Engineering Records contain subject files, correspondence, files related to the American Society of Agricultural Engineers, and farm building plans. The collection also contains an index of images and associated negatives that were photographed by the department from circa 1915-1951. Subjects of the images include research by the department, various types of agricultural equipment such as: plows, harrows and rollers, cultivators, subsoilers, and harvesting and haying machinery, as well as agricultural buildings such as: barns, silos, corn cribs, poultry houses.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,67 linear feet,,"Hoffman, A.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ark:/13030/c81c2369/,English,"University of California, Davis General Library, University Archives",Cal Aggie Alumni Association Collection,California Aggie Alumni Association,AR-072,2 items,1923-2017,,"The collection includes minutes, reports, correspondence, publications, membership lists, clipping files, and photographs related to the operation and activities of the Cal Aggie Alumni Association.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ark:/13030/c81g0sp4/,English,"University of California, Davis Library, University Archives","University of California, Davis Foundation Plant Services Records","University of California, Davis. Foundation Plant Services",AR-050,34.4 linear feet,1954-2007,,"Correspondence, minutes, reports, data sheets, publication, photographs, and slides relating to the production and dissemination of disease free cuttings and rootstock.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ark:/13030/c81r6wxj/,English,"University of California, Davis Library, University Archives","University of California, Davis Office of the Vice Chancellor for University Relations Records","University of California, Davis. Office of the Vice Chancellor for University Relations",AR-021,10 linear feet,1980-1987,,"Office files relating to activities involving CAAA, campus development, and campus outreach.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ark:/13030/c8223145/,English,"University of California, Davis Library, University Archives",Office of the Chancellor Records,"University of California, Davis. Office of the Chancellor.",AR-023,489.4 linear feet,1937-2014,,"Office files relating to the physical planning and administration of the University of California, Davis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ark:/13030/c83r0zn4/,English,"University of California, Davis Library, University Archives",Department of Animal Science Records,"University of California, Davis. Department of Animal Science",AR-001,173.2 linear feet,1925-2017,,"The mission of the Department of Animal Science is to create and disseminate knowledge about animals for the betterment of animals, society, and the environment. The records include correspondence, minutes, reports, subject files, course lists, scrapbooks, and reel-to-reel tapes documenting the administrative activities and programs of the Department of Animal Science.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ark:/13030/c84b32tx/,Collection materials in English.,"University of California, Davis Library, University Archives",Office of Ceremonies and Special Events Collection,"University of California, Davis. Library. Department of Special Collections",AR-163,0.4 linear feet,1922-2019,,"The Office of Ceremonies and Special Events collection contains materials related to UC Davis campus ceremonies, dedications, lectures, programs, and receptions. Also included are meeting minutes for the Committee on Public Ceremonies (1947-1973).","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,ark:/13030/c84m9b1z/,English,"University of California, Davis Library, University Archives","University of California, Davis Admissions Office Slide Collection","University of California, Davis. Admissions Office",AR-123,5 linear feet,1989-2015,,Slides used by the Admissions Office for their publications and web site.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,ark:/13030/c8542pz1/,Collection materials in English.,,Western Signal Corps School Collection,"University of California, Davis. Library",AR-185,6 photographs,1943-1944,,"From 1943-1944, in the midst of World War II, the UC College of Agriculture at Davis (now the University of California, Davis) was closed and converted to a training facility for the Western Signal Corps School (WSCS). The collection contains school newsletters, a student guide, commemorative album, farewell menu, as well as several photographs.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,ark:/13030/c8571f8t/,Collection materials in English.,,Department of Viticulture and Enology Wine Label Collection,"University of California, Davis. Department of Viticulture and Enology",AR-191,3 linear feet,1927-1990,,"This collection, assembled by the UC Davis Viticulture and Enology Department from the 1970s to the early 1990s, contains wine labels from United States wineries from circa 1947-1990. Wine labels from other countries such as Australia, France, Germany, and South Africa are also included.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,9 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,ark:/13030/c85h7npq/,English,"University of California, Davis Library, University Archives",Convenio Records,University of California (System),AR-014,1 linear foot,1965-1979,,"Publications and reports from a &#34;Convenio&#34; (an agreement or pact) between the University of Chile and the University of California for a long-term cooperative program that embraced nearly all disciplines at the two universities. Entomology, plant pathology, and pomology were considered top priority. The program received financial support from the Ford Foundation.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,ark:/13030/c8668fwh/,Collection materials in English.,,Memorial Union Art Gallery Records,Memorial Union Art Gallery,AR-132,,1970-2008,,"The Memorial Union Art Gallery began as &#34;The Painting of the Month&#34; in the 1950s featuring the work of the Art Department faculty and students. An enclosed gallery was established on the fourth floor of the expanded Memorial Union Tower in 1966. The collection contains exhibit files which include artist information, press releases, correspondence between artists and the Gallery Manager, installation notes, publicity materials, exhibit catalogs, and slides.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,14 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,ark:/13030/c86h4p61/,English,"University of California, Davis Library, University Archives",Robert Mondavi Institute of Wine and Food Science Records,Robert Mondavi Institute for Wine and Food Science,AR-143,3 copies,2001-2018,,"The Robert Mondavi Institute is home to the Department of Viticulture and Enology, the Department of Food Science and Technology, the Olive Center, the Honey &amp; Pollination Center, and the Center for Wine Economics. The collection includes clippings, brochures, promotional materials, posters, videos, and photographs related to the Robert Mondavi Institute of Wine and Food Science.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,ark:/13030/c8891bpk/,English,"University of California, Davis General Library, University Archives",Center for Health and Technology Records,UC Davis Health System. Center for Health and Technology,AR-221,4 linear feet,2007-2014,,The Center for Health and Technology is a research and education program of UC Davis Health. Records of the Center include vendor proposals and contract files related to the California Telehealth Network and building and financial records for the Center for Health and Technology Building.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,ark:/13030/c8891c92/,English,"University of California, Davis Library, University Archives",University Farm Circle Records,"University Farm Circle (University of California, Davis).",AR-047,12.6 linear feet,1916-2009,,"Collection includes constitution, correspondence, meeting minutes, annual reports, club records, financial reports, club rosters, publications, photo exhibit, scrapbooks, and realia.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,ark:/13030/c88k7fnd/,English,"University of California, Davis Library, University Archives",Department of Art and Art History Collection,"University of California, Davis. Art Department",AR-019,1 16mm film,1943-2017,,"The University of California, Davis Department of Art and Art History Colletion dates from 1943 to 2017. The collection consists of promotional materials for department events, correspondence and reports related to the history of the department, and three films.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,ark:/13030/c8959pn7/,English,"University of California, Davis, Library, University Archives","University of California, Davis Fire Department Records",University of California Davis. Fire Department,AR-184,35 photographs,circa 1960-1985,,"The UC Davis Fire Department provides fire protection and emergency medical services to the UC Davis campus. It was established as a volunteer fire brigade in 1917 and formalized in the 1950s with the hire of career staff and a full-time fire chief. The collection contains station logs, clipping files, manuals, meeting minutes, photographs, and realia.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,ark:/13030/c8988cgx/,English,"University of California, Davis Library, University Archives",Accounting and Financial Services Office Records,"University of California, Davis. Accounting Office",AR-127,29.8 linear feet,1910-1957,,Income ledgers (1910-1912); general ledgers (1914-1940); contingent fund and revolving fund ledgers (1911-1922); and financial reports (1938-1957).,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,ark:/13030/c8988dfw/,English,"University of California, Davis Library, University Archives","University of California, Davis, Agricultural History Center Records","University of California, Davis. Agricultural History Center",AR-036,6 linear feet,1974-1997,,"The Agricultural History Center was founded in 1964 to enhance knowledge of agriculture&#39;s past through publications, education, and other public services. The collection includes correspondence, reports, and card files relating agricultural history.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,ark:/13030/c89c6zzh/,Collection materials in English.,,California Aggie Web Archives,"University of California, Davis. Library.",AR-189,1 online resource,2010-2013,,"The California Aggie, an entirely student-run publication, is a unit of the Associated Students of UC Davis and is overseen by the Campus Media Board. UC Davis Special Collections began capturing the California Aggie website in October 2010. These historic website captures are generally six months behind the current website.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 online resource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,ark:/13030/c89g5t8j/,English,"University of California, Davis Library, University Archives",College of Agricultural and Environmental Sciences Executive Committee Records,"University of California, Davis. College of Agricultural and Environmental Sciences . Executive Committee",AR-120,14 linear feet,1952-2008,,"Committee lists, meeting calls, and minutes.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,ark:/13030/c89p3741/,English,"University of California, Davis Library, University Archives","University of California, Davis Oral History Office Records","University of California, Davis. Oral History Office",AR-113,55.8 linear feet,1836-1995,,Audio recordings and transcripts of oral histories conducted by the Oral History Office. Also included are office files and correspondence relating to the activities of the office.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,ark:/13030/c89s1xg2/,English,"University of California, Davis Library, University Archives",California Food and Fiber Futures Records,"University of California, Davis. College of Agricultural and Environmental Sciences",AR-099,10 linear feet,1993-2007,,"Correspondence, model projects, meeting and conference materials, and annual reports from project funded by W. K. Kellogg Foundation.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,ark:/13030/c8b27vvh/,Collection materials in English.,,"Associated Students, University of California, Davis (ASUCD) Records","University of California, Davis. Associated Students",AR-111,1 online resource,1945-2013,,"The Associated Students, University of Calfornia, Davis (ASUCD) is the official student government of UC Davis. The collection contains legislation, election information, meeting minutes, financial materials, clippings of Aggie articles about ASUCD, and a scrapbook. Also included are links to captures of various ASUCD websites.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,13.4 linear feet; 9 online resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,ark:/13030/c8c53sbs/,English,"University of California, Davis Library, University Archives","University of California, Davis Centennial Collection","University of California, Davis",AR-144,4 linear feet,2007-2010,,"Planning and publicity files, correspondence, and memorabilia from the centennial year.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,ark:/13030/c8cc126m/,Collection materials in English.,,Quarter Century Club Minutes,"University of California, Davis. Library",AR-169,,1939-1989,,"The Quarter Century Club, whose members have been affiliated with the Davis campus for twenty five years or more, was organized in 1939. This small collection contains the club&#39;s meeting minutes from 1939-1989 as well as several clippings that feature the club.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,ark:/13030/c8cr60jz/,English,"University of California, Davis General Library, University Archives",UC Davis Personnel Manuals,"University of California, Davis. Office of the Chancellor",AR-193,2 linear feet,1991-2005,,"The collection includes non-current copies of the University of California, Davis Academic Personnel Manual and the University of California, Davis Policy and Procedure Manual.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,ark:/13030/c8cz37xq/,Collection materials in English.,,Institute of Governmental Affairs Collection,"University of California, Davis. Institute of Governmental Affairs",AR-041,20 linear feet,1962-2009,,"The Institute of Governmental Affairs (IGA), founded in 1962, supports social science research, graduate student training, public affairs programming, and outreach activities at UC Davis. The majority of the collection is a clipping file maintained by IGA from 1971-1987 on the following areas: Davis/Yolo County, Sacramento City/County, and the California State Government. The collection also contains publications produced by IGA and the Agricultural History Center.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,101 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,ark:/13030/c8d2243p/,English,"University of California, Davis Library, University Archives",Department of Food Science and Technology Records,"University of California, Davis. Food Science &amp; Technology Department",AR-131,32.1 linear feet,1925-2005,,"With origins rooted in the University of California Berkeley&#39;s Division of Viticulture and Enology, the Department of Food Science was initially established in 1919 as a division of fruit products after the Volstead Act prohibited commercial wine-making. The collection includes syllabi, lecture notes, department correspondence, photographs, and realia.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,ark:/13030/c8d50sk3/,English,"University of California, Davis General Library, University Archives",UC Davis Retirees&#39; Association Records,UCD Retirees&#39; Association,AR-192,0.5 linear feet,1984-2016,,"The UC Davis Retirees&#39; Association records include by-laws, minutes, budgets, reports, brochures, and newsletters.","Physical location: Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,ark:/13030/c8db8786/,English,"University of California, Davis Library, University Archives",Memorial Union Services Collection,"University of California, Davis",AR-152,2 linear feet,1921-2002,,Material related to the fundraising campaign of the UC Davis Student Memorial Union project. Also included is a logbook from West Hall which contains the minutes and records of student meetings held between 1921-1930.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,ark:/13030/c8df6xks/,English,"University of California, Davis Library, University Archives",Picnic Day Collection,"University of California, Davis. Library",AR-075,6.2 linear feet,1909-2017,,"Picnic Day, the University of California, Davis annual Open House, has been a tradition on campus since 1909. Collection includes programs, newspaper clippings, and memorabilia from the University of California, Davis Picnic Day celebrations.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,ark:/13030/c8f47qns/,Collection materials in English.,,California Club of the University of California; Davis Chapter Records,University of California (System). California Club. Davis Chapter,AR-207,,1950-1969,,"The California Club, an honorary service club founded in 1934, brought student leaders of all University of California campuses together. This small collection contains materials from the Davis chapter of the club including the club&#39;s constitution, correspondence, conference materials, and song books.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,ark:/13030/c8f47vm0/,English,"University of California, Davis. Library, University Archives","College of Agricultural and Environmental Sciences, Undergraduate Program Review Subcommittee Records","University of California, Davis. College of Agricultural and Environmental Sciences. Undergraduate Program Review Subcommittee",AR-121,13 linear feet,1975-2005,,Reviews of the undergraduate majors in the College of Agricultural and Environmental Sciences.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,ark:/13030/c8fb57kd/,English,"University of California, Davis Library, University Archives",Neil Michel Axiom Photograph Collection,"Michel, Neil",AR-195,6.2 MB,1991-2008,,,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,ark:/13030/c8fb57rn/,English,"University of California, Davis General Library, University Archives","Office of the Vice Chancellor and CFO - Finance, Operations, and Administration Records","University of California, Davis. Office of Administrative and Resource Management",AR-051,160.1 linear feet,1936-2010,,"The Office of the Vice Chancellor and CFO - Finance, Operations, and Administration oversees campus planning, facilities, and safety as well as campus finance and resource management. This office was formerly known as the Office of Resource Management and Planning (ORMP) and as the Office of Planning and Budget. The collection includes budgets and financial statements, long range development plans, and environmental impact reports","Researchers should contact Special Collections to request collections, as many are stored offsite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,ark:/13030/c8g1662v/,English,"University of California, Davis General Library, University Archives",Cal Aggie Marching Band Collection,California Aggie Marching Band,AR-150,9.8 linear feet,1968-2007,,"Includes correspondence, office files, video cassettes, photographs, realia, and survey worksheets.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,ark:/13030/c8gh9kgr/,Collection materials in English.,,Antique Mechanics Club Records,"University of California, Davis. Antique Mechanics Club",AR-010,,1964-1991,,"The Antique Mechanics Club, a student group established in 1971, collects, restores, and displays vintage agricultural equipment, focusing mostly on tractors. The collection contains correspondence, newspaper clippings, and files relating to the history of the Antique Mechanics organization on the UC Davis campus.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,ark:/13030/c8gt5pmc/,Collection materials in English.,,Golden Hoof Club Records,"University of California, Davis. Golden Hoof Club",AR-082,,1920-1968,,"The Golden Hoof Club was organized in April 1920 by students who were interested in livestock industries. This small collection contains the club&#39;s by-laws, correspondence, transcripts of two speeches, and newspaper clippings.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,ark:/13030/c8gt5sw6/,English,"University of California, Davis General Library, University Archives",Putah-Cache Bioregion Project Records,Putah Cache Bioregion Project,AR-149,8 linear feet,1993-2007,,"Collection contains correspondence, publications, minutes, and syllabi related to the Putah-Cache Bioregion Project.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,ark:/13030/c8gt5tm1/,English,"University of California, Davis Library, University Archives",Unitrans Records,Unitrans (University transport system),AR-071,4.4 linear feet,1966-2008,,"Annual reports, schedules, newspaper clippings, photographs, and memorabilia documenting the history of Unitrans, the University and City of Davis bus service.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,ark:/13030/c8gx4hs6/,English,"University of California, Davis General Library, University Archives",Student Health and Counseling Services Records,"University of California, Davis. Student Health and Counseling Services",AR-124,12 linear feet,1982-2013,,"The collection includes press and publicity scrapbooks related to Student Health and Counseling Services outreach activities; group-created journals from student volunteers at The House, a student-run peer counseling service; and photographs and slides.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,ark:/13030/c8gx4j26/,English,"University of California, Davis Library, University Archives",University of California Sustainable Agriculture Research and Education Research Program (SAREP) Records,University of California (System). Sustainable Agriculture Research and Education Program,AR-142,7.4 linear feet,1982-2010,,"Correspondence, meeting minutes, program plans, photographs, and slides for a slideshow for school groups on sustainable agriculture.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,ark:/13030/c8h41sxj/,Collection materials in English.,,"University of California, Davis Campus Songs and Song Books Collection","University of California, Davis. Library",AR-079,,1955-1965,,"This small collection contains sheet music and song books for Davis campus songs and University of California songs including: Aggie Fight Song, Big C, California Aggies Hail, Hail to California, and Sons of California.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,ark:/13030/c8h41xqh/,English,"University of California, Davis General Library, University Archives",Center for Laboratory Animal Science Records,"University of California, Davis. Center for Laboratory Animal Science",AR-183,1 linear foot,circa 1957-1984,,"Architectural plans for Haring Hall Quadrangle, Beach Lab, Haring Hall Kennels, California Animal Health and Food Safety Lab, and Medical Science 1.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,ark:/13030/c8js9wh9/,English,"University of California, Davis. UC Davis Library, University Archives",Century Experiment/Long Term Research on Agricultural Sustainability (LTRAS) Project Records,Long Term Research on Agricultural Systems Project,AR-110,4.4 linear feet,1981-2015,,"The Century Experiement, a project of the UC Davis Agricultural Sustainability Institute, is a 100-year study measuring long-term impacts of crop rotation, farming systems, and inputs of water and nutrients on agricultural sustainability. The experiment is based at the Russell Ranch Sustainable Agriculture Facility in Davis, California. At its founding in 1993, the Century Experiment was named the Long Term Research on Agricultural Systems (LTRAS) project. The collection includes Century Experiment/LTRAS program materials including experimental design documentation, data, laboratory notebooks, maps, photographs, slides, and reports.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,ark:/13030/c8jw8gdn/,Collection materials in English.,,Agricultural Education Wives Records,"Agricultural Education Wives (Davis, Calif)",AR-083,,1950-1982,,"The Agricultural Education Wives organization of the University of California, Davis was formed to to: &#34;intelligently prepare for their future as wives of vocational agricultural teachers and to better understand the professional problems of their husbands.&#34; This small collection contains the organization&#39;s constitution, financial records, meeting records, and membership lists.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,ark:/13030/c8k64pk8/,English,"University of California, Davis Library, University Archives",UC Davis College of Agricultural and Environmental Sciences Records,"University of California, Davis. College of Agricultural and Environmental Sciences",AR-141,16.4 linear feet,1957-2014,,The UC Davis College of Agricultural and Environmental Sciences Records include engineering drawings of several campus buildings and a group of photographs and videos related to presentations and celebratory events.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
